LocationKey,state,country,market,region
3,Budapest,Hungary,EMEA,EMEA
7,Ninawa,Iraq,EMEA,EMEA
12,Yazd,Iran,EMEA,EMEA
14,Razavi Khorasan,Iran,EMEA,EMEA
37,Beirut,Lebanon,EMEA,EMEA
61,Bursa,Turkey,EMEA,EMEA
80,Gaziantep,Turkey,EMEA,EMEA
93,Al Jawf,Saudi Arabia,EMEA,EMEA
104,Belgorod,Russia,EMEA,EMEA
106,Ulaanbaatar,Mongolia,EMEA,EMEA
118,Al Madinah,Saudi Arabia,EMEA,EMEA
119,Harjumaa,Estonia,EMEA,EMEA
128,Afyonkarahisar,Turkey,EMEA,EMEA
134,Izmir,Turkey,EMEA,EMEA
138,Markazi,Iran,EMEA,EMEA
148,Olomouc,Czech Republic,EMEA,EMEA
173,Aydin,Turkey,EMEA,EMEA
185,Chisinau,Moldova,EMEA,EMEA
188,Gilan,Iran,EMEA,EMEA
192,Bashkortostan,Russia,EMEA,EMEA
198,Kaluga,Russia,EMEA,EMEA
210,Pomerania,Poland,EMEA,EMEA
211,Tehran,Iran,EMEA,EMEA
214,Diyarbakir,Turkey,EMEA,EMEA
217,Baki,Azerbaijan,EMEA,EMEA
220,Qom,Iran,EMEA,EMEA
229,Bushehr,Iran,EMEA,EMEA
230,Vinnytsya,Ukraine,EMEA,EMEA
232,Kherson,Ukraine,EMEA,EMEA
236,Baghdad,Iraq,EMEA,EMEA
238,Elbasan,Albania,EMEA,EMEA
239,Iasi,Romania,EMEA,EMEA
242,Jerusalem,Israel,EMEA,EMEA
246,Istanbul,Turkey,EMEA,EMEA
248,Silesia,Poland,EMEA,EMEA
249,Makkah,Saudi Arabia,EMEA,EMEA
253,Tbilisi,Georgia,EMEA,EMEA
254,Masovia,Poland,EMEA,EMEA
259,Ankara,Turkey,EMEA,EMEA
272,Vilnius,Lithuania,EMEA,EMEA
287,Kermanshah,Iran,EMEA,EMEA
293,Zanjan,Iran,EMEA,EMEA
296,Sistan Va Baluchestan,Iran,EMEA,EMEA
301,Vienna,Austria,EMEA,EMEA
308,Irkutsk,Russia,EMEA,EMEA
310,Chelyabinsk,Russia,EMEA,EMEA
311,Yaroslavl',Russia,EMEA,EMEA
312,Canakkale,Turkey,EMEA,EMEA
